updatedAt,log_return
2023-11-05,0.6044752
2023-11-06,0.59998515
2023-11-07,0.60928784
2023-11-08,0.59028774
2023-11-09,0.66636917
2023-11-10,0.67776644
2023-11-11,0.68817911
2023-11-12,0.68778554
2023-11-13,0.70483805
2023-11-14,0.72190271
2023-11-15,0.741278
2023-11-16,0.75539924
2023-11-17,0.76907191
2023-11-18,0.7664083
2023-11-19,0.7594558
2023-11-20,0.75701712
2023-11-21,0.80729315
2023-11-22,0.83066557
2023-11-23,0.82976629
2023-11-24,0.83229151
2023-11-25,0.83240555
2023-11-26,0.83455417
2023-11-27,0.83847818
2023-11-28,0.83286748
2023-11-29,0.83167357
2023-11-30,0.82816132
2023-12-01,0.76492724
2023-12-02,0.78212071
2023-12-03,0.74996911
2023-12-04,0.74054865
2023-12-05,0.74025183
2023-12-06,0.73763602
2023-12-07,0.80675886
2023-12-08,0.80705268
2023-12-09,0.73215353
2023-12-10,0.72768436
2023-12-11,0.74289465
2023-12-12,0.87172137
2023-12-13,0.88376246
2023-12-14,0.87386595
2023-12-15,0.88838449
2023-12-16,0.86806803
2023-12-17,0.86222849
2023-12-18,0.86143413
2023-12-19,0.86513975
2023-12-20,0.86729726
2023-12-21,0.83217076
2023-12-22,1.05853542
2023-12-23,1.06265155
2023-12-24,1.06833529
2023-12-25,1.0697319
2023-12-26,1.07911063
2023-12-27,1.14911494
2023-12-28,1.15576547
2023-12-29,1.15478687
2023-12-30,1.1597568
2023-12-31,1.16698713
2024-01-01,1.19485768
2024-01-02,1.19086367
2024-01-03,1.20634532
2024-01-04,1.20764459
2024-01-05,1.20711546
2024-01-06,1.24863581
2024-01-07,1.25118737
2024-01-08,1.25278691
2024-01-09,1.25297889
2024-01-10,1.36399281
2024-01-11,1.30831433
2024-01-12,1.29192587
2024-01-13,1.29473093
2024-01-14,1.29221993
2024-01-15,1.29365607
2024-01-16,1.28789044
