updatedAt,log_return
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,0.61978273
2021-08-13,0.65540959
2021-08-14,0.64745912
2021-08-15,0.64104441
2021-08-16,0.65728664
2021-08-17,0.6707707
2021-08-18,0.65414878
2021-08-19,0.63474823
2021-08-20,0.60828902
2021-08-21,0.61072382
2021-08-22,0.60731525
2021-08-23,0.6066908
2021-08-24,0.62622086
2021-08-25,0.60810283
2021-08-26,0.60963496
2021-08-27,0.62167037
2021-08-28,0.62207592
2021-08-29,0.59859453
2021-08-30,0.61136429
2021-08-31,0.5936334
2021-09-01,0.592707
2021-09-02,0.57784523
2021-09-03,0.56493026
2021-09-04,0.56106471
2021-09-05,0.5568394
2021-09-06,0.5447837
2021-09-07,0.68063702
2021-09-08,0.65580233
2021-09-09,0.65384601
2021-09-10,0.66374766
2021-09-11,0.65808888
2021-09-12,0.61109825
2021-09-13,0.61324074
2021-09-14,0.63285796
2021-09-15,0.62807363
2021-09-16,0.62059039
2021-09-17,0.62216847
2021-09-18,0.61381941
2021-09-19,0.58901349
2021-09-20,0.67403991
2021-09-21,0.69419381
2021-09-22,0.74355309
2021-09-23,0.74196738
2021-09-24,0.75166002
2021-09-25,0.74085924
2021-09-26,0.72550467
2021-09-27,0.72822192
2021-09-28,0.73265422
2021-09-29,0.72686119
2021-09-30,0.75137892
2021-10-01,0.81739162
2021-10-02,0.81594098
2021-10-03,0.81613784
2021-10-04,0.81969506
2021-10-05,0.82554766
2021-10-06,0.85957258
2021-10-07,0.76275284
2021-10-08,0.75961064
2021-10-09,0.76151183
2021-10-10,0.75089854
2021-10-11,0.76599273
2021-10-12,0.77244086
2021-10-13,0.76689728
2021-10-14,0.75628991
2021-10-15,0.78781015
2021-10-16,0.78966681
2021-10-17,0.78655173
2021-10-18,0.78539503
2021-10-19,0.78438762
2021-10-20,0.68768358
2021-10-21,0.68799755
2021-10-22,0.6719912
2021-10-23,0.66901027
2021-10-24,0.64069788
2021-10-25,0.64307746
2021-10-26,0.66966274
2021-10-27,0.67566776
2021-10-28,0.66517394
2021-10-29,0.66635529
2021-10-30,0.65500648
2021-10-31,0.58568342
2021-11-01,0.5846909
2021-11-02,0.58922076
2021-11-03,0.58809379
2021-11-04,0.58518862
2021-11-05,0.53653364
2021-11-06,0.52449909
2021-11-07,0.53321162
2021-11-08,0.56810379
2021-11-09,0.56761056
2021-11-10,0.56387167
2021-11-11,0.55497765
2021-11-12,0.55518306
2021-11-13,0.5551806
2021-11-14,0.50178929
2021-11-15,0.50899609
2021-11-16,0.53952962
2021-11-17,0.53899067
2021-11-18,0.55944087
2021-11-19,0.55768308
2021-11-20,0.53666285
2021-11-21,0.5302511
2021-11-22,0.54728067
2021-11-23,0.55370847
2021-11-24,0.53974736
2021-11-25,0.53732365
2021-11-26,0.61754358
2021-11-27,0.60593878
2021-11-28,0.62307731
2021-11-29,0.62580043
2021-11-30,0.62752555
2021-12-01,0.62742544
2021-12-02,0.61723932
2021-12-03,0.6381627
2021-12-04,0.69772909
2021-12-05,0.69861258
2021-12-06,0.70567687
2021-12-07,0.6929118
2021-12-08,0.64490185
2021-12-09,0.66084201
2021-12-10,0.65500625
2021-12-11,0.67816663
2021-12-12,0.68311312
2021-12-13,0.71130183
2021-12-14,0.72247332
2021-12-15,0.72288438
2021-12-16,0.70892121
2021-12-17,0.71215938
2021-12-18,0.6916372
2021-12-19,0.6832774
2021-12-20,0.67355228
2021-12-21,0.69502151
2021-12-22,0.68281371
2021-12-23,0.69533147
2021-12-24,0.695369
2021-12-25,0.68180144
2021-12-26,0.60526412
2021-12-27,0.60262291
2021-12-28,0.61035686
2021-12-29,0.60936995
2021-12-30,0.61299821
2021-12-31,0.6143947
2022-01-01,0.62771096
2022-01-02,0.60665404
2022-01-03,0.52788715
2022-01-04,0.52866605
2022-01-05,0.54745196
2022-01-06,0.54727611
2022-01-07,0.55803316
2022-01-08,0.53522229
2022-01-09,0.53494848
2022-01-10,0.50899345
2022-01-11,0.51327449
2022-01-12,0.47317443
2022-01-13,0.4662402
2022-01-14,0.46682688
2022-01-15,0.4621636
2022-01-16,0.45366828
2022-01-17,0.4548695
2022-01-18,0.45573772
2022-01-19,0.45781764
2022-01-20,0.43143086
2022-01-21,0.56045669
2022-01-22,0.53902534
2022-01-23,0.56089496
