updatedAt,log_return
2023-07-07,0.72967944
2023-07-08,0.72978817
2023-07-09,0.73059924
2023-07-10,0.58354425
2023-07-11,0.56364087
2023-07-12,0.55961291
2023-07-13,0.59313034
2023-07-14,0.57588773
2023-07-15,0.57561898
2023-07-16,0.52217304
2023-07-17,0.51887548
2023-07-18,0.52590326
2023-07-19,0.5233409
2023-07-20,0.50731736
2023-07-21,0.51695936
2023-07-22,0.51289642
2023-07-23,0.52276263
2023-07-24,0.52297709
2023-07-25,0.51707257
2023-07-26,0.5191501
2023-07-27,0.51408511
2023-07-28,0.49099859
2023-07-29,0.48897628
2023-07-30,0.4580929
2023-07-31,0.45360584
2023-08-01,0.46718586
2023-08-02,0.4755518
2023-08-03,0.48341994
2023-08-04,0.47729756
2023-08-05,0.47100251
2023-08-06,0.46423445
2023-08-07,0.46673257
2023-08-08,0.49150257
2023-08-09,0.49257997
2023-08-10,0.51184276
2023-08-11,0.5411965
2023-08-12,0.49216883
2023-08-13,0.48973372
2023-08-14,0.50170199
2023-08-15,0.56856208
2023-08-16,0.63602659
2023-08-17,0.72934639
2023-08-18,0.76115507
2023-08-19,0.77472717
2023-08-20,0.75093148
2023-08-21,0.75150766
2023-08-22,0.73996258
2023-08-23,0.74824399
2023-08-24,0.74370821
2023-08-25,0.72870103
2023-08-26,0.72858646
2023-08-27,0.72203099
2023-08-28,0.72416389
2023-08-29,0.74962038
2023-08-30,0.75187326
2023-08-31,0.77128749
2023-09-01,0.77198324
2023-09-02,0.76202703
2023-09-03,0.75560907
2023-09-04,0.74761858
2023-09-05,0.75430301
2023-09-06,0.77254549
2023-09-07,0.77529387
2023-09-08,0.77430677
2023-09-09,0.76664572
2023-09-10,0.7808491
2023-09-11,0.7709239
2023-09-12,0.77919205
2023-09-13,0.77163137
2023-09-14,0.73087193
2023-09-15,0.67058022
2023-09-16,0.5619898
2023-09-17,0.53082895
2023-09-18,0.57177064
2023-09-19,0.59802352
2023-09-20,0.59489085
2023-09-21,0.59971667
2023-09-22,0.59043577
2023-09-23,0.5922902
2023-09-24,0.59363972
2023-09-25,0.61078525
2023-09-26,0.61309213
2023-09-27,0.61390801
2023-09-28,0.62505596
2023-09-29,0.62028591
2023-09-30,0.59475123
2023-10-01,0.57846559
2023-10-02,0.6237086
2023-10-03,0.62615963
2023-10-04,0.6248827
2023-10-05,0.62430887
2023-10-06,0.63185663
2023-10-07,0.64398605
2023-10-08,0.63669376
2023-10-09,0.65979109
2023-10-10,0.6015015
2023-10-11,0.60146984
2023-10-12,0.62431914
2023-10-13,0.62911241
2023-10-14,0.6291843
2023-10-15,0.62903067
2023-10-16,0.62632428
2023-10-17,0.63650419
2023-10-18,0.59741204
2023-10-19,0.57302563
2023-10-20,0.61548237
2023-10-21,0.61180238
2023-10-22,0.60979781
2023-10-23,0.64693217
2023-10-24,0.64924413
2023-10-25,0.65469666
2023-10-26,0.65682699
2023-10-27,0.65679518
2023-10-28,0.64674351
2023-10-29,0.64478218
2023-10-30,0.62491304
2023-10-31,0.61309573
2023-11-01,0.59342082
2023-11-02,0.60912015
2023-11-03,0.62243836
2023-11-04,0.62195594
2023-11-05,0.6090282
2023-11-06,0.5922242
2023-11-07,0.58827935
2023-11-08,0.55985245
2023-11-09,0.60244723
2023-11-10,0.6042555
2023-11-11,0.56715465
2023-11-12,0.57128577
2023-11-13,0.58560004
2023-11-14,0.60323991
2023-11-15,0.61821116
2023-11-16,0.6418236
2023-11-17,0.64405377
2023-11-18,0.64249364
2023-11-19,0.61636886
2023-11-20,0.61356296
2023-11-21,0.67516948
2023-11-22,0.67377257
2023-11-23,0.66581314
2023-11-24,0.65055737
2023-11-25,0.64792937
2023-11-26,0.65292273
2023-11-27,0.66942249
2023-11-28,0.67276124
2023-11-29,0.6773637
2023-11-30,0.67634675
2023-12-01,0.66661808
2023-12-02,0.65309357
2023-12-03,0.63595449
2023-12-04,0.63678675
2023-12-05,0.63852532
2023-12-06,0.65656261
2023-12-07,0.68644887
2023-12-08,0.67691694
2023-12-09,0.62656971
2023-12-10,0.62760891
2023-12-11,0.68830691
2023-12-12,0.69011863
2023-12-13,0.68564964
2023-12-14,0.68415732
2023-12-15,0.68271487
2023-12-16,0.66001863
2023-12-17,0.66606812
2023-12-18,0.66546994
2023-12-19,0.66732911
2023-12-20,0.66863648
2023-12-21,0.62624901
2023-12-22,0.65456046
2023-12-23,0.66054147
2023-12-24,0.65819144
2023-12-25,0.66804738
2023-12-26,0.67489076
2023-12-27,0.77078235
2023-12-28,0.77325764
2023-12-29,0.77168281
2023-12-30,0.84391593
2023-12-31,0.84275788
2024-01-01,0.85254838
2024-01-02,0.86740596
2024-01-03,0.88909248
2024-01-04,0.88760978
2024-01-05,0.91437162
2024-01-06,0.90535588
2024-01-07,0.91071022
2024-01-08,0.92926286
2024-01-09,0.93635475
2024-01-10,0.9477018
2024-01-11,0.94448019
2024-01-12,0.94936033
2024-01-13,0.94718206
2024-01-14,0.94568245
2024-01-15,0.9446794
2024-01-16,0.93885512
