updatedAt,log_return
2022-09-29,0.80983304
2022-09-30,0.81403911
2022-10-01,0.8187877
2022-10-02,0.81887225
2022-10-03,0.82358845
2022-10-04,0.82517173
2022-10-05,0.82526012
2022-10-06,0.81586456
2022-10-07,0.7932218
2022-10-08,0.7886669
2022-10-09,0.78034191
2022-10-10,0.78403262
2022-10-11,0.79314809
2022-10-12,0.75290124
2022-10-13,0.62454465
2022-10-14,0.61423804
2022-10-15,0.60827448
2022-10-16,0.60846109
2022-10-17,0.59730096
2022-10-18,0.53696008
2022-10-19,0.52312293
2022-10-20,0.51705027
2022-10-21,0.51466957
2022-10-22,0.47801982
2022-10-23,0.48458722
2022-10-24,0.49449807
2022-10-25,0.57792228
2022-10-26,0.55456401
2022-10-27,0.54754689
2022-10-28,0.57093713
2022-10-29,0.57205561
2022-10-30,0.56753872
2022-10-31,0.56258884
2022-11-01,0.56251228
2022-11-02,0.5743044
2022-11-03,0.5587733
2022-11-04,0.64376204
2022-11-05,0.70677842
2022-11-06,0.82411464
2022-11-07,0.89110128
2022-11-08,1.11666604
2022-11-09,2.16146155
2022-11-10,2.33679786
2022-11-11,2.34184414
2022-11-12,2.36606678
2022-11-13,2.37912967
2022-11-14,2.39775558
2022-11-15,2.39838044
2022-11-16,2.39107241
2022-11-17,2.391952
2022-11-18,2.39122908
2022-11-19,2.39133372
2022-11-20,2.3897859
2022-11-21,2.38831927
2022-11-22,2.38996891
2022-11-23,2.46275277
2022-11-24,2.43560551
2022-11-25,2.43235337
2022-11-26,2.43531392
2022-11-27,2.42315316
2022-11-28,2.41806446
2022-11-29,2.41775736
2022-11-30,2.43596721
2022-12-01,2.43616388
2022-12-02,2.44032248
2022-12-03,2.43822886
2022-12-04,2.41137448
2022-12-05,2.37907686
2022-12-06,2.36847472
2022-12-07,2.35746194
2022-12-08,2.27828044
2022-12-09,1.28396604
2022-12-10,0.98306134
2022-12-11,0.95551126
2022-12-12,0.86684214
2022-12-13,0.81099045
2022-12-14,0.78674909
2022-12-15,0.78308174
2022-12-16,0.90903013
2022-12-17,0.9005641
2022-12-18,0.89641262
2022-12-19,0.89751736
2022-12-20,0.89019757
2022-12-21,0.8825456
2022-12-22,0.87178646
2022-12-23,0.69968991
2022-12-24,0.69936935
2022-12-25,0.691346
2022-12-26,0.68925098
2022-12-27,0.69046213
2022-12-28,0.78944901
2022-12-29,0.7884629
2022-12-30,0.76149003
2022-12-31,0.75321902
2023-01-01,0.74904901
2023-01-02,0.87154541
2023-01-03,1.05489413
2023-01-04,1.05448991
2023-01-05,1.04741853
2023-01-06,1.02840141
2023-01-07,1.03293687
2023-01-08,1.08753412
2023-01-09,1.15834453
2023-01-10,1.15738737
2023-01-11,1.15632785
2023-01-12,1.15018012
2023-01-13,1.19032728
2023-01-14,1.51364084
2023-01-15,1.43883691
2023-01-16,1.43911897
2023-01-17,1.44624704
2023-01-18,1.48647649
2023-01-19,1.48652679
2023-01-20,1.57537236
2023-01-21,1.57947643
2023-01-22,1.58270936
2023-01-23,1.57334396
2023-01-24,1.60144666
2023-01-25,1.60751047
2023-01-26,1.60335051
2023-01-27,1.50951506
2023-01-28,1.51115913
2023-01-29,1.52166124
2023-01-30,1.57159633
2023-01-31,1.5724183
2023-02-01,1.53894598
2023-02-02,1.46324255
2023-02-03,1.46222047
2023-02-04,1.46497861
2023-02-05,1.47706525
2023-02-06,1.47774416
2023-02-07,1.45510564
2023-02-08,1.41658336
2023-02-09,1.49206428
2023-02-10,1.49435309
2023-02-11,1.49688483
2023-02-12,1.46690747
2023-02-13,1.09480694
2023-02-14,1.09493543
2023-02-15,1.13512308
2023-02-16,1.15653222
